method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
deeplabv3_r101-d8_512x512_4x4_160k_coco_stuff10k, 20210711_175536.log.json, 36.61, 47.61, 10, 36.61, 47.61, 10
deeplabv3_r101-d8_512x512_4x4_20k_coco_stuff10k, 20210821_043025.log.json, 37.3, 49.38, 10, 37.3, 49.38, 10
deeplabv3_r101-d8_512x512_4x4_320k_coco_stuff10k, 20210715_194710.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_r101-d8_512x512_4x4_40k_coco_stuff10k, 20210821_043305.log.json, 37.81, 49.980000000000004, 10, 37.81, 49.980000000000004, 10
deeplabv3_r101-d8_512x512_4x4_80k_coco_stuff10k, 20210711_175535.log.json, 37.269999999999996, 49.15, 10, 37.269999999999996, 49.15, 10
deeplabv3_r50-d8_512x512_4x4_160k_coco_stuff10k, 20210711_175537.log.json, 35.17, 45.9, 10, 35.17, 45.9, 10
deeplabv3_r50-d8_512x512_4x4_20k_coco_stuff10k, 20210821_043025.log.json, 34.660000000000004, 46.379999999999995, 10, 34.660000000000004, 46.379999999999995, 10
deeplabv3_r50-d8_512x512_4x4_320k_coco_stuff10k, 20210711_175535.log.json, 34.660000000000004, 44.86, 10, 34.660000000000004, 44.86, 10
deeplabv3_r50-d8_512x512_4x4_40k_coco_stuff10k, 20210821_043305.log.json, 35.730000000000004, 47.77, 10, 35.730000000000004, 47.77, 10
deeplabv3_r50-d8_512x512_4x4_80k_coco_stuff10k, 20210716_144429.log.json, 36.05, 47.31, 10, 36.05, 47.31, 10
pspnet_r101-d8_512x512_4x4_160k_coco_stuff10k, 20210711_194759.log.json, 36.74, 47.910000000000004, 10, 36.74, 47.910000000000004, 10
pspnet_r101-d8_512x512_4x4_20k_coco_stuff10k, 20210820_232135.log.json, 37.26, 49.33, 10, 37.26, 49.33, 10
pspnet_r101-d8_512x512_4x4_320k_coco_stuff10k, 20210711_210229.log.json, 35.15, 45.989999999999995, 10, 35.15, 45.989999999999995, 10
pspnet_r101-d8_512x512_4x4_40k_coco_stuff10k, 20210821_014022.log.json, 37.76, 49.65, 10, 37.76, 49.65, 10
pspnet_r101-d8_512x512_4x4_80k_coco_stuff10k, 20210711_194759.log.json, 37.43, 49.03, 10, 37.43, 49.03, 10
pspnet_r50-d8_512x512_4x4_160k_coco_stuff10k, 20210711_184424.log.json, 36.16, 47.03, 10, 36.16, 47.03, 10
pspnet_r50-d8_512x512_4x4_20k_coco_stuff10k, 20210820_203258.log.json, 35.69, 47.04, 10, 35.69, 47.04, 10
pspnet_r50-d8_512x512_4x4_320k_coco_stuff10k, 20210711_184424.log.json, 34.44, 44.78, 10, 34.44, 44.78, 10
pspnet_r50-d8_512x512_4x4_40k_coco_stuff10k, 20210821_030857.log.json, 36.33, 47.72, 10, 36.33, 47.72, 10
pspnet_r50-d8_512x512_4x4_80k_coco_stuff10k, 20210711_210229.log.json, 35.86, 47.099999999999994, 10, 35.86, 47.099999999999994, 10
